brand,car,carname,accel,topspeed,range,efficiency,charge,power,body,seats,price,pricek,price_km,time_charge
Hyundai,IONIQElectric,IONIQ,10,165,250,153,210,FWD,Hatchback,5,53756,53.76,215,1.37
Hyundai,KonaElectric39kWh,Kona,10,155,255,154,210,FWD,SUV,5,52995,53,208,1.36
Hyundai,KonaElectric64kWh,Kona,8,167,400,160,380,FWD,SUV,5,63640,63.64,159,2.38
Jaguar,I-Pace,I-Pace,5,200,365,232,340,AWD,SUV,5,117548,117.55,322,1.47
Kia,e-Niro39kWh,Niro,10,155,235,167,230,FWD,SUV,5,53664,53.66,228,1.38
Kia,e-Niro64kWh,Niro,8,167,370,173,350,FWD,SUV,5,59444,59.44,161,2.02
Kia,e-Soul39kWh,Soul,10,157,230,170,220,FWD,SUV,5,51687,51.69,225,1.29
Kia,e-Soul64kWh,Soul,8,167,365,175,340,FWD,SUV,5,57466,57.47,157,1.94
Kia,e-Soul64kWh,Soul,8,167,365,175,320,FWD,SUV,5,57466,57.47,157,1.83
Lexus,UX300e,UX300e,8,160,270,193,190,FWD,SUV,5,78000,78,289,0.98
Lightyear,One,One,10,150,575,104,540,AWD,Hatchback,5,232440,232.44,404,5.19
Lucid,Air,Air,3,250,610,180,620,AWD,Sedan,5,163800,163.8,269,3.44
Mazda,MX-30,MX-30,9,150,180,178,240,FWD,SUV,5,50928,50.93,283,1.35
Mercedes,EQA,EQA,5,200,350,171,440,AWD,SUV,5,70200,70.2,201,2.57
Mercedes,EQC4004MATIC,EQC,5,180,370,216,440,AWD,SUV,5,108395,108.4,293,2.04
Mercedes,EQV300Long,EQV,10,140,330,273,290,FWD,SPV,7,110184,110.18,334,1.06
MG,ZSEV,ZSEV,8,140,220,193,260,FWD,SUV,5,46800,46.8,213,1.35
